[DEBUG_BULK] ID: 73a8222e-7c94-47ff-8b52-b786ad7b6180 | Init: 100000 | Eq: 100000 | SOD: 100000
[DEBUG_BULK] ID: 73a8222e-7c94-47ff-8b52-b786ad7b6180 | Init: 100000 | Eq: 100000 | SOD: 100000
[DEBUG_BULK] ID: 828fbe02-eec3-423a-9e3e-c6c75f2b49bd | Init: 100000 | Eq: 100000 | SOD: 100000
[DEBUG_BULK] ID: 73a8222e-7c94-47ff-8b52-b786ad7b6180 | Init: 100000 | Eq: 100000 | SOD: 100000
[DEBUG_BULK] ID: 73a8222e-7c94-47ff-8b52-b786ad7b6180 | Init: 100000 | Eq: 100000 | SOD: 100000
[DEBUG_BULK] ID: 828fbe02-eec3-423a-9e3e-c6c75f2b49bd | Init: 100000 | Eq: 100000 | SOD: 100000
[DEBUG_BULK] ID: 828fbe02-eec3-423a-9e3e-c6c75f2b49bd | Init: 100000 | Eq: 100000 | SOD: 100000
[DEBUG_BULK] ID: 828fbe02-eec3-423a-9e3e-c6c75f2b49bd | Init: 100000 | Eq: 100000 | SOD: 100000
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
[DEBUG_BULK] ID: 7d5b8b90-34d8-4ab8-ba98-303e06b9022f | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 7d5b8b90-34d8-4ab8-ba98-303e06b9022f | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
[DEBUG_BULK] ID: 7d5b8b90-34d8-4ab8-ba98-303e06b9022f | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
[DEBUG_BULK] ID: 7d5b8b90-34d8-4ab8-ba98-303e06b9022f | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
[DEBUG_BULK] ID: 7d5b8b90-34d8-4ab8-ba98-303e06b9022f | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 7d5b8b90-34d8-4ab8-ba98-303e06b9022f | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
[DEBUG_BULK] ID: d1a56de8-ecfe-40ef-abb3-48efb7cbdd16 | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: d1a56de8-ecfe-40ef-abb3-48efb7cbdd16 | Init: 2500 | Eq: 2500 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
[DEBUG_BULK] ID: 531ec731-7a69-41e5-9198-aecde22fcdde | Init: 2500 | Eq: 5072 | SOD: 2500
